iter	RMSE
0	0.3662576993
1	0.3450458507
2	0.3248917467
3	0.306124761
4	0.2898562863
5	0.2749290115
6	0.2617719367
7	0.2488976768
8	0.2372899872
9	0.2281966562
10	0.2187920857
11	0.210571665
12	0.2026119868
13	0.195649291
14	0.1900314878
15	0.18491021
16	0.1802535904
17	0.1752904251
18	0.1710560124
19	0.1671306096
20	0.1631933378
21	0.1609110947
22	0.1579372052
23	0.1547987781
24	0.1520990416
25	0.149383307
26	0.1468505852
27	0.1450059817
28	0.1432507766
29	0.1410906455
30	0.1395829263
31	0.1377387708
32	0.1361799797
33	0.1350106255
34	0.1338090664
35	0.132008626
36	0.1309276502
37	0.1300889562
38	0.1291674663
39	0.1282104216
40	0.1272342459
41	0.1261746959
42	0.1253325328
43	0.1242083498
44	0.1231536314
45	0.1222091247
46	0.1212616733
47	0.1205945692
48	0.1194965883
49	0.1189939229
50	0.1184022082
51	0.1175995952
52	0.1174031151
53	0.1166899017
54	0.1161520051
55	0.1154677642
56	0.1144720172
57	0.1137633327
58	0.1130488189
59	0.1124848201
60	0.1120108075
61	0.1115002554
62	0.1112101447
63	0.1105791574
64	0.1100572296
65	0.1096766328
66	0.1093663368
67	0.108898782
68	0.1085206568
69	0.1080405361
70	0.1075591801
71	0.1071026664
72	0.1066403445
73	0.1062629158
74	0.1058773421
75	0.1054525225
76	0.1050266152
77	0.1047080763
78	0.104372211
79	0.1038797801
80	0.1033556239
81	0.1029787214
82	0.1027658304
83	0.1025350724
84	0.1021684605
85	0.1016376855
86	0.1012175608
87	0.1008653502
88	0.1004155717
89	0.1000758239
90	0.09969904688
91	0.09937855034
92	0.09901344194
93	0.09869901289
94	0.0983315843
95	0.09794821204
96	0.09760873384
97	0.09729893305
98	0.09689479734
99	0.09650220812
100	0.09611459284
101	0.09581272588
102	0.09541287432
103	0.09505082931
104	0.09466895299
105	0.09439191542
106	0.09392929534
107	0.09372162016
108	0.09336083372
109	0.09301011064
110	0.09261064681
111	0.09236964684
112	0.09205588695
113	0.09183400446
114	0.09163118414
115	0.09138442851
116	0.09103094966
117	0.09084133533
118	0.09055511921
119	0.09033605034
120	0.08999754333
121	0.08979749056
122	0.08963272934
123	0.08948663908
124	0.08919933454
125	0.08888450401
126	0.08866299778
127	0.0883572105
128	0.08814407238
129	0.08792952463
130	0.08766493988
131	0.08744252072
132	0.08722394563
133	0.08693547047
134	0.08664344758
135	0.08632882318
136	0.08622182223
137	0.08605457795
138	0.08575344176
